Jour,Biogaz,Biogaz de station d'épuration,Cultures énergétiques,Incinération
,Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh)
01.01.2022,0.84494,0.2627,0.14123,3.25839
02.01.2022,0.81548,0.26054,0.14051,3.27834
03.01.2022,0.80294,0.26756,0.13217,3.24402
04.01.2022,0.80492,0.2723,0.10049,3.27206
05.01.2022,0.8012,0.28291,0.13361,3.14773
06.01.2022,0.83797,0.28002,0.1406,3.13037
07.01.2022,0.84796,0.28757,0.13978,3.10821
08.01.2022,0.85588,0.28421,0.12982,3.14151
09.01.2022,0.82094,0.26875,0.13738,3.06657
10.01.2022,0.81551,0.27283,0.13444,2.95353
11.01.2022,0.82029,0.28566,0.13416,2.93013
12.01.2022,0.82999,0.28082,0.13976,2.94996
13.01.2022,0.82218,0.28386,0.13669,2.88421
14.01.2022,0.83958,0.29024,0.14174,3.08099
15.01.2022,0.83827,0.28486,0.14286,3.22287
16.01.2022,0.82157,0.27735,0.14163,3.19579
17.01.2022,0.79487,0.27947,0.14268,3.1156
18.01.2022,0.81587,0.28564,0.13209,3.06359
19.01.2022,0.81566,0.29569,0.14324,3.12774
20.01.2022,0.82564,0.29469,0.1425,3.09151
21.01.2022,0.84149,0.30237,0.14346,3.1396
22.01.2022,0.82851,0.29888,0.14253,3.26253
23.01.2022,0.82511,0.29428,0.14354,3.27542
24.01.2022,0.82605,0.29013,0.14356,3.13404
25.01.2022,0.82344,0.29688,0.14098,3.07899
26.01.2022,0.84317,0.30278,0.13659,3.14678
27.01.2022,0.86249,0.30211,0.13893,3.26503
28.01.2022,0.87271,0.30551,0.14042,3.30776
29.01.2022,0.85726,0.30343,0.14099,3.40689
30.01.2022,0.84415,0.3028,0.14084,3.45196
31.01.2022,0.81319,0.28735,0.1411,3.25805
01.02.2022,0.81865,0.28232,0.14228,3.54952
02.02.2022,0.82943,0.29571,0.14619,3.67373
03.02.2022,0.83975,0.30953,0.14503,3.70746
04.02.2022,0.85474,0.31019,0.14236,3.71232
05.02.2022,0.84952,0.30155,0.14443,3.75419
06.02.2022,0.82554,0.29113,0.14526,3.7333
07.02.2022,0.79354,0.27916,0.14074,3.61492
08.02.2022,0.83299,0.29098,0.13617,3.56214
09.02.2022,0.83751,0.29074,0.13917,3.54602
10.02.2022,0.84075,0.29767,0.13781,3.61449
11.02.2022,0.84737,0.2992,0.13916,3.71679
12.02.2022,0.86637,0.29911,0.14532,3.74239
13.02.2022,0.85603,0.28557,0.14256,3.75219
14.02.2022,0.82298,0.27717,0.14217,3.52685
15.02.2022,0.84377,0.28629,0.14557,3.50749
16.02.2022,0.83369,0.29566,0.1448,3.52641
17.02.2022,0.82974,0.29676,0.12983,3.51062
18.02.2022,0.85862,0.30252,0.07434,3.68237
19.02.2022,0.84641,0.30847,0.1221,3.67515
20.02.2022,0.82843,0.29936,0.14381,3.7086
21.02.2022,0.79286,0.28842,0.1316,3.5062
22.02.2022,0.80137,0.29175,0.14041,3.53212
23.02.2022,0.82036,0.29695,0.11952,3.55649
24.02.2022,0.81465,0.30438,0.13691,3.70631
25.02.2022,0.81846,0.29334,0.14126,3.68169
26.02.2022,0.82451,0.29394,0.14056,3.68731
27.02.2022,0.81977,0.2849,0.13947,3.64435
28.02.2022,0.79809,0.28413,0.13101,3.54216
01.03.2022,0.72429,0.26603,0.13883,3.29752
02.03.2022,0.7242,0.26985,0.14446,3.32818
03.03.2022,0.75362,0.2712,0.13624,3.42155
04.03.2022,0.75823,0.27687,0.13189,3.3637
05.03.2022,0.78978,0.27537,0.12116,3.32511
06.03.2022,0.77688,0.26494,0.1103,3.23356
07.03.2022,0.743,0.26994,0.11993,3.21282
08.03.2022,0.74894,0.283,0.12739,3.18381
09.03.2022,0.71786,0.28706,0.13064,3.1206
10.03.2022,0.72286,0.28187,0.12513,3.24146
11.03.2022,0.70445,0.2862,0.1226,3.30826
12.03.2022,0.72157,0.2743,0.12229,3.35821
13.03.2022,0.70453,0.26938,0.11429,3.3236
14.03.2022,0.67647,0.26682,0.12258,3.10959
15.03.2022,0.68367,0.26954,0.12565,3.14389
16.03.2022,0.71232,0.27781,0.13318,3.34748
17.03.2022,0.73096,0.2751,0.12295,3.3529
18.03.2022,0.7826,0.2847,0.1229,3.28095
19.03.2022,0.78225,0.28234,0.11936,3.21778
20.03.2022,0.77008,0.27459,0.11289,3.13401
21.03.2022,0.75338,0.26708,0.11819,3.06796
22.03.2022,0.76421,0.2764,0.12106,3.11326
23.03.2022,0.75659,0.27405,0.1251,3.1
24.03.2022,0.77719,0.27703,0.1173,3.25701
25.03.2022,0.79009,0.28024,0.12112,3.34857
26.03.2022,0.78756,0.27229,0.11724,3.35
27.03.2022,0.7233,0.24954,0.10508,3.15721
28.03.2022,0.74409,0.25993,0.09641,3.25552
29.03.2022,0.74082,0.27356,0.09313,3.17422
30.03.2022,0.72744,0.27379,0.10374,3.2202
31.03.2022,0.73498,0.28358,0.10877,3.24508
01.04.2022,0.8551,0.31302,0.117,3.98623
02.04.2022,0.87729,0.30399,0.11835,3.58711
03.04.2022,0.87446,0.29033,0.1162,3.54259
04.04.2022,0.86071,0.28145,0.11549,3.54634
05.04.2022,0.84452,0.29276,0.11894,3.60709
06.04.2022,0.85597,0.29902,0.10994,3.74554
07.04.2022,0.84895,0.29679,0.11622,3.61169
08.04.2022,0.86724,0.30087,0.11118,3.71011
09.04.2022,0.87577,0.28966,0.12991,3.7346
10.04.2022,0.85321,0.28135,0.13125,3.88427
11.04.2022,0.84905,0.26906,0.12425,3.7329
12.04.2022,0.84356,0.27402,0.09264,3.66747
13.04.2022,0.84297,0.27909,0.07559,3.74668
14.04.2022,0.86483,0.2862,0.07855,3.83152
15.04.2022,0.86425,0.27885,0.07735,3.91023
