Jour,Eaux usées,Eau de drainage,Débits résiduels (barrages),Hydraulique fil de l'eau,Pompage-turbinage production,Eau de Stockage,Eau potable,Biogaz,Biogaz de station d'épuration,Energie du bois,Déchets forestiers et agricoles,Incinération,Turbine à vapeur de gaz fossile,Centrale combinée à gaz et à vapeur,Turbine à gaz,Énergies fossiles gazeuses,Moteur à combustion,Énergies fossiles liquides,Éolienne,Photovoltaïque
,Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh),Énergie (GWh)
13.09.2023,0,22.8,0.5,16.9,52.3,36.2,0.7,0.9,0.3,1.3,0,4.4,0,0,0,0.1,0,0,0.1,6.3
14.09.2023,0,21.9,0.5,17.3,49.2,35.8,0.7,0.9,0.3,1.3,0,4.4,0,0,0,0.1,0,0,0.1,12.5
15.09.2023,0,20.2,0.6,17.4,38.1,28,0.6,0.9,0.3,1.4,0,4.4,0,0,0,0,0,0,0.2,14.4
16.09.2023,0,17.3,0.7,15.3,37.2,24.2,0.6,0.9,0.3,1.2,0,4.1,0,0,0,0,0,0,0.2,14.2
17.09.2023,0,16.4,0.7,14.3,35.1,23.6,0.6,0.8,0.3,1.2,0,3.8,0,0,0,0,0,0,0.2,16.2
18.09.2023,0,21,0.7,17.4,39.1,30.4,0.6,0.8,0.2,1.2,0,4,0,0,0,0.1,0,0,1,4.4
19.09.2023,0,21.5,0.7,18.6,32.8,25.1,0.7,0.9,0.3,1.3,0,4.1,0,0,0,0.1,0,0,0.3,14.9
20.09.2023,0,21.2,0.7,18.3,29.3,27.6,0.7,0.9,0.3,1.4,0,4.4,0,0,0,0.1,0,0,0.2,17.5
21.09.2023,0,22.9,0.7,19.1,45.2,31.6,0.7,0.9,0.2,1.5,0,4.5,0,0,0,0.1,0,0,0.6,11.8
22.09.2023,0.1,26.9,0.7,21.7,46.7,33.8,0.7,0.9,0.2,1.3,0,4.4,0,0,0,0.1,0,0,0.6,10.6
23.09.2023,0.1,26.1,0.7,20.9,30.1,27,0.8,0.9,0.3,1.4,0,4.6,0,0,0,0.1,0,0,0.3,11.6
24.09.2023,0,22.6,0.7,17.9,19.5,22.3,0.8,0.9,0.2,1.4,0,4.7,0,0,0,0.1,0,0,0.4,18.1
25.09.2023,0,23.5,0.7,17.6,43.3,29.9,0.8,0.9,0.2,1.5,0,4.5,0,0,0,0.1,0,0,0.1,18.5
26.09.2023,0,23.1,0.7,16.6,51.4,32.9,0.7,0.9,0.2,1.5,0,4.5,0,0,0,0.1,0,0,0.1,17.7
27.09.2023,0,21.3,0.7,16,40.2,30.9,0.7,0.9,0.3,1.5,0,4.5,0,0,0,0.1,0,0,0.1,17.1
28.09.2023,0,20.8,0.7,15.8,40.3,28.9,0.7,0.9,0.2,1.3,0,4.5,0,0,0,0.1,0,0,0.1,16
29.09.2023,0,19,0.7,15.3,27.8,24.8,0.7,0.9,0.2,1.4,0,4.7,0,0,0,0.1,0,0,0.3,15.4
30.09.2023,0,17.3,0.7,14.3,27.6,23.1,0.7,0.9,0.2,1.4,0,4.8,0,0,0,0.1,0,0,0.1,13.5
01.10.2023,0,17.4,0.7,13.9,21.3,23.7,0.7,0.9,0.2,1.4,0,4.5,0,0,0,0.1,0,0,0.1,16
02.10.2023,0,19.6,0.7,14.7,29,27.5,0.7,0.9,0.2,1.5,0,4.4,0,0,0,0.1,0,0,0.2,16.3
03.10.2023,0,17.5,0.7,14.4,20,22.3,0.6,0.9,0.3,1.5,0,4.3,0,0,0,0.1,0,0,0.8,13
04.10.2023,0,18.4,0.7,14.1,23.3,21.5,0.6,0.9,0.3,1.4,0,4.6,0,0,0,0.1,0,0,0.1,14.6
05.10.2023,0,19.1,0.7,13.4,31.2,25,0.6,0.9,0.3,1.4,0,4.6,0,0,0,0.1,0,0,0.1,14.1
06.10.2023,0,16.9,0.7,12.8,20.8,23.3,0.6,0.9,0.3,1.4,0,4.7,0,0,0,0.1,0,0,0.1,14.9
07.10.2023,0,13.6,0.7,12.5,11,16.3,0.6,0.9,0.2,1.4,0,4.9,0,0,0,0.1,0,0,0.2,14.8
08.10.2023,0,14.4,0.7,12,24.8,20,0.6,0.9,0.2,1.3,0,5,0,0,0,0.1,0,0,0.1,14.5
09.10.2023,0,17.4,0.7,12.3,42.5,29.6,0.6,0.9,0.2,1.3,0,4.9,0,0,0,0.1,0,0,0.2,13
10.10.2023,0,16.4,0.7,11.9,26.2,25.7,0.6,0.9,0.2,1.4,0,4.9,0,0,0,0.1,0,0,0.1,13
11.10.2023,0,14.7,0.7,11.2,16.9,21.6,0.6,0.9,0.2,1.3,0,4.9,0,0,0,0.1,0,0,0.4,14.6
12.10.2023,0,16.2,0.7,11.3,21.5,21.3,0.6,0.9,0.3,1.3,0,5,0,0,0,0.1,0,0,0.6,12.9
13.10.2023,0,14.3,0.7,11.1,17.4,15.7,0.6,0.9,0.2,1.4,0,4.9,0,0,0,0.1,0,0,0.7,14
14.10.2023,0,11.9,0.7,10.7,13,12.8,0.6,0.9,0.2,1.4,0,5.1,0,0,0,0.1,0,0,0.8,6.5
15.10.2023,0,12.1,0.7,10.4,9.5,11.9,0.6,0.9,0.2,1.5,0,5,0,0,0,0.1,0,0,0.3,8
16.10.2023,0,13.9,0.6,10.7,22.6,20.4,0.6,0.8,0.2,1.5,0,4.5,0,0,0,0.2,0,0,0.6,13
17.10.2023,0,13.7,0.7,10.4,23.2,21.5,0.5,0.9,0.2,1.6,0,4.4,0,0,0,0.3,0,0,0.1,10.6
18.10.2023,0,12.6,0.7,9.9,20.7,24.8,0.5,0.9,0.2,1.6,0,4.5,0,0,0,0.3,0,0,0.7,5.3
19.10.2023,0,13.6,0.7,10.6,25.5,27.9,0.5,0.9,0.2,1.4,0,4.7,0,0,0,0.3,0,0,0.7,6.3
20.10.2023,0,17.9,0.7,14.4,21.8,25.4,0.6,0.9,0.2,1.2,0,4.7,0,0,0,0.2,0,0,1.1,2.6
21.10.2023,0,20,0.7,15.7,20.4,18.7,0.6,0.9,0.3,1.3,0,4.8,0,0,0,0.1,0,0,0.7,6
22.10.2023,0,20,0.7,14.9,20.2,22.1,0.6,0.9,0.3,1.3,0,4.4,0,0,0,0.1,0,0,0.3,11.2
23.10.2023,0,19.2,0.6,13.8,37.9,32.5,0.6,0.9,0.2,1.5,0,4.3,0,0,0,0.2,0,0,0.6,6.1
24.10.2023,0,21.6,0.6,16,35.2,34,0.6,0.9,0.2,1.6,0,4.2,0,0,0,0.2,0,0,0.4,1.9
25.10.2023,0,22.2,0.6,16.6,25.1,29.6,0.7,0.9,0.2,1.5,0,4.2,0,0,0,0.2,0,0,1,5.9
26.10.2023,0,24,0.7,17.7,27.9,34,0.7,0.9,0.2,1.7,0,4.2,0,0,0,0.2,0,0,0.7,4.3
27.10.2023,0.1,27.4,0.7,20.7,30.8,36,0.8,0.9,0.3,1.6,0,4.1,0,0,0,0.2,0,0,0.9,8.3
28.10.2023,0,24.6,0.7,20.1,25,27.4,0.8,1,0.3,1.7,0,4.6,0,0,0,0.1,0,0,1.1,10.1
29.10.2023,0,21.5,0.7,19.7,17.5,16.5,0.8,0.9,0.2,1.6,0,4.9,0,0,0,0.1,0,0,1.3,6.8
30.10.2023,0,24.8,0.7,19.7,33.9,33.6,0.7,0.9,0.2,1.7,0,4.7,0,0,0,0.2,0,0,0.8,3.3
31.10.2023,0,30.6,0.8,21.7,24.9,34.5,0.8,0.9,0.2,1.7,0,4.5,0,0,0,0.2,0,0,0.8,4.1
01.11.2023,0,27.3,0.7,20.6,22.3,30.4,0.8,1,0.3,1.7,0,4.6,0,0,0,0.2,0,0,1,6.2
02.11.2023,0,28.8,0.7,20.9,21.8,32.8,0.8,0.9,0.3,1.8,0,4.5,0,0,0,0.2,0,0,1.1,1.1
03.11.2023,0,31,0.8,21.4,47.4,35.6,0.8,1,0.3,1.8,0,4.5,0,0,0,0.3,0,0,0.5,5.7
04.11.2023,0,26.6,0.7,20.9,17.1,23.6,0.8,0.9,0.3,1.7,0,4.5,0,0,0,0.3,0,0,1.2,3.4
05.11.2023,0.1,25.2,0.7,21,13.9,16.8,0.8,0.9,0.2,1.7,0,4.7,0,0,0,0.3,0,0,1.2,4.6
06.11.2023,0,26.5,0.7,21.2,30.1,29.4,0.8,0.9,0.2,1.8,0,4.8,0,0,0,0.2,0,0,0.9,7.4
07.11.2023,0,25.5,0.7,20.7,25.7,28.8,0.8,0.9,0.2,1.8,0,4.7,0,0,0,0.2,0,0.1,0.7,6.1
08.11.2023,0,24.4,0.7,19.8,19,26,0.8,0.9,0.3,1.8,0,4.6,0,0,0,0.3,0,0.1,0.7,10.1
09.11.2023,0,24.5,0.7,19.1,22.9,28.8,0.8,0.9,0.3,1.8,0,4.3,0,0,0,0.4,0,0.1,1.3,3
10.11.2023,0,23.9,0.7,19.5,23.6,26.1,0.8,0.9,0.3,1.9,0,4.4,0,0,0,0.4,0,0.1,0.9,5.2
11.11.2023,0,20.8,0.7,19,17.8,18.5,0.8,0.9,0.3,1.7,0,4.6,0,0,0,0.4,0,0.1,0.6,4.8
12.11.2023,0,21.2,0.7,19.6,18.8,19.1,0.8,0.9,0.3,1.7,0,4.6,0,0,0,0.4,0,0.1,1,1.5
13.11.2023,0.1,27,0.7,21.3,30.5,27.3,0.8,0.9,0.2,1.7,0,4.7,0,0,0,0.3,0,0,1.2,2.2
14.11.2023,0.1,29.2,0.5,19.8,31.3,30.7,0.9,0.9,0.2,1.7,0,4.6,0,0,0,0.3,0,0.1,1.1,1.2
15.11.2023,0.1,29.7,0.3,16.4,30.5,32.5,0.9,0.9,0.2,1.8,0,4.7,0,0,0,0.4,0,0.1,0.9,5.6
16.11.2023,0.1,30.2,0.5,19.6,42,35.2,0.9,0.9,0.2,1.8,0,4.7,0,0,0,0.4,0,0.1,0.9,3.5
17.11.2023,0.1,29.7,0.5,19.6,38.9,35.8,0.9,0.9,0.2,1.8,0,4.6,0,0,0,0.4,0,0.1,0.7,2.8
18.11.2023,0.1,26.5,0.5,19.7,12.5,19.5,0.9,0.9,0.2,1.7,0,4.3,0,0,0,0.4,0,0.1,0.5,3.3
19.11.2023,0.1,27.2,0.5,20.2,8.9,17.7,0.9,0.9,0.2,1.5,0,4,0,0,0,0.3,0,0.1,1.1,2.5
20.11.2023,0,30,0.5,20.7,35.5,34.6,0.9,0.9,0.2,1.6,0,4,0,0,0,0.2,0,0.1,1,4.6
21.11.2023,0,30.1,0.5,21.3,34.9,37.3,0.9,1,0.3,1.8,0,4.1,0,0,0,0.3,0,0.1,0.5,3.4
22.11.2023,0.1,28.4,0.6,21.5,29.7,35.9,0.9,1,0.3,1.9,0,4.2,0,0,0,0.8,0,0.1,0.3,3.2
23.11.2023,0,25.9,0.6,21.3,16.1,30.2,0.9,1,0.3,1.9,0,4.1,0,0,0,0.5,0,0.1,0.3,6.6
24.11.2023,0,25,0.7,22,13.1,30.2,0.9,1,0.3,1.9,0,4,0,0,0,0.5,0,0.1,1.3,4
25.11.2023,0,23.2,0.7,20.6,11.8,22.7,0.8,1,0.3,1.9,0,4,0,0,0,0.5,0,0.1,0.9,2.9
26.11.2023,0,22.6,0.7,20,15.6,19.3,0.8,0.9,0.3,1.8,0,4,0,0,0,0.4,0,0.1,0.3,4.4
27.11.2023,0,24.2,0.8,21,30.3,30.2,0.8,0.9,0.3,1.9,0,3.9,0,0,0,0.7,0,0.1,1,2.8
28.11.2023,0,24.9,0.7,21,45.8,33.7,0.8,1,0.3,1.9,0,3.9,0,0,0,0.5,0,0.1,0.7,1.7
29.11.2023,0,24.1,0.8,21,41.4,33.4,0.8,1,0.3,1.9,0,3.9,0,0,0,0.8,0,0.1,0.3,6.1
30.11.2023,0,24.8,0.8,21.8,52.9,35,0.8,1,0.3,1.8,0,4,0,0,0,1.6,0,0.1,0.7,0.2
01.12.2023,0.1,25.6,0.5,20.5,73.1,35,0.9,1,0.3,1.8,0,3.8,0,0,0,2.2,0,0.1,0.1,0.4
02.12.2023,0,23.5,0.5,20.5,48.7,32.6,0.8,1,0.2,1.5,0,3.6,0,0,0,0.8,0,0,0.5,0.4
03.12.2023,0,20.6,0.5,20.2,22.7,24.1,0.8,0.9,0.2,1.5,0,3.8,0,0,0,0.8,0,0.1,0.2,1.1
04.12.2023,0,22.6,0.6,20.2,51.5,28.2,0.8,0.9,0.2,1.5,0,3.8,0,0,0,0.9,0,0.1,1.4,0.3
05.12.2023,0,22.7,0.6,20.7,57.3,27.6,0.8,0.9,0.2,1.5,0,3.9,0,0,0,1.2,0,0.1,1,1.2
06.12.2023,0,24.1,0.7,21.1,79.7,35,0.8,1,0.2,1.6,0,4,0,0,0,1.6,0,0,0.2,1.6
07.12.2023,0,22.1,0.7,21.3,66.1,31.1,0.8,1,0.2,1.6,0,3.9,0,0,0,1.3,0,0.1,0.6,2.2
08.12.2023,0,21.1,0.7,20.8,35.6,28.8,0.8,1,0.3,1.6,0,3.9,0,0,0,1.2,0,0.1,0.7,0.6
09.12.2023,0,19.9,0.7,20.1,11.9,14.2,0.8,1,0.3,1.6,0,3.9,0,0,0,0.8,0,0.1,0.9,1.4
10.12.2023,0.1,21.6,0.5,18.7,10.2,12.8,0.8,0.9,0.2,1.6,0,4.2,0,0,0,0.8,0,0.1,1.2,3
11.12.2023,0.1,24.5,0.5,19.4,40.3,25.5,0.8,0.9,0.2,1.7,0,4.3,0,0,0,0.7,0,0,0.9,1.1
12.12.2023,0.1,25.1,0.3,17.6,41.5,28.5,0.9,1,0.2,1.6,0,4.4,0,0,0,0.7,0,0,0.8,1.4
13.12.2023,0.1,25.2,0.3,17.5,39.1,26.6,0.9,1,0.2,1.7,0,4.3,0,0,0,0.7,0,0.1,0.5,1.9
14.12.2023,0.1,27.6,0.4,18.3,57.6,31.3,0.9,1,0.2,1.8,0,4.2,0,0,0,0.7,0,0.1,0.3,1.8
15.12.2023,0.1,24.6,0.4,19.4,36.1,27.5,0.9,1,0.2,1.7,0,4.1,0,0,0,0.8,0,0.1,0.2,4.7
16.12.2023,0,22,0.5,19.4,12.3,19.2,0.9,1,0.2,1.7,0,4,0,0,0,0.9,0,0.1,0.5,3.9
17.12.2023,0,21.3,0.5,19.4,14.8,16.1,0.9,1,0.2,1.7,0,4,0,0,0,0.9,0,0,0.3,2.8
18.12.2023,0,23.2,0.5,20,34,26.4,0.8,0.9,0.2,1.6,0,4,0,0,0,0.9,0,0,0.3,3.7
19.12.2023,0,23.4,0.6,20.3,35.3,27.8,0.8,1,0.3,1.6,0,3.8,0,0,0,0.9,0,0,0.6,4.8
20.12.2023,0,22.9,0.6,20.3,20.6,23,0.8,1,0.3,1.6,0,4,0,0,0,0.8,0,0,0.7,2.8
21.12.2023,0,22.7,0.6,20.4,20.4,22,0.8,1,0.3,1.6,0,4.1,0,0,0,0.8,0,0.1,1.2,1.1
22.12.2023,0.1,22.7,0.6,20.3,14.8,15.7,0.9,0.9,0.3,1.6,0,4.1,0,0,0,0.8,0,0,1.5,1.3
23.12.2023,0,20.9,0.6,19.2,14.4,10.3,0.8,1,0.3,1.6,0,4.2,0,0,0,0.8,0,0,1.5,3.9
24.12.2023,0,19.5,0.6,18.4,5.5,8.2,0.8,0.9,0.3,1.6,0,4.3,0,0,0,0.8,0,0,1.3,3.6
25.12.2023,0,18.7,0.7,18.3,5,8.1,0.8,0.9,0.3,1.6,0,4.4,0,0,0,0.8,0,0,1.1,6.2
26.12.2023,0,18.5,0.7,18.6,14.8,8,0.8,0.9,0.3,1.6,0,4.2,0,0,0,0.9,0,0,0.8,4.9
27.12.2023,0,19.3,0.7,18.3,26,9.3,0.8,0.9,0.3,1.6,0,4.1,0,0,0,0.9,0,0,0.8,6
28.12.2023,0,18.6,0.8,18.6,18.3,8.4,0.8,0.9,0.3,1.6,0,4.1,0,0,0,0.9,0,0,0.9,2.7
29.12.2023,0,17.9,0.8,18.5,8,8.2,0.8,0.9,0.3,1.7,0,4.1,0,0,0,0.8,0,0,0.8,3.2
30.12.2023,0,17.1,0.8,18.3,18.5,7.6,0.8,1,0.3,1.6,0,4.3,0,0,0,0.8,0,0,0.6,5.8
31.12.2023,0,16.8,0.7,17.6,7.4,6,0.8,0.9,0.3,1.6,0,4.1,0,0,0,0.8,0,0,1.1,2.1
