,Solar,Wind,Waste,Biogas,Sewage_gas,Biomass_1_crops,Biomass_2_waste
2020-01-04 15:00:00,169905.1677765592,14753.889,,,,,
2020-01-04 16:00:00,52643.62670832874,13896.84,,,,,
2020-01-04 17:00:00,969.5914652814772,15099.072,,,,,
2020-01-04 18:00:00,72.32899107159047,14421.695,,,,,
2020-01-04 19:00:00,51.59342845733521,16148.23,,,,,
2020-01-04 20:00:00,52.119592625171705,16912.121,,,,,
2020-01-04 21:00:00,42.19875746061151,18709.345,,,,,
2020-01-04 22:00:00,45.8701706317234,18428.144,,,,,
2020-01-04 23:00:00,31.43879802838643,13243.409,,,,,
2020-01-05 00:00:00,30.110700287169305,10105.494,,,,,
2020-01-05 01:00:00,47.58953735135956,11981.455,,,,,
2020-01-05 02:00:00,18.400114174444695,14420.905999999999,,,,,
2020-01-05 03:00:00,20.21528436195237,15375.048,,,,,
2020-01-05 04:00:00,31.08870146578335,13615.425,,,,,
2020-01-05 05:00:00,49.57487974394608,14182.854,,,,,
2020-01-05 06:00:00,66.70946039326421,15535.391,,,,,
2020-01-05 07:00:00,73.19556420983257,15635.445,,,,,
2020-01-05 08:00:00,8001.037422253311,21590.247000000003,,,,,
2020-01-05 09:00:00,142986.39335653247,21002.978,,,,,
2020-01-05 10:00:00,398179.9651207841,28315.482,,,,,
2020-01-05 11:00:00,625759.9650512194,22213.735,,,,,
2020-01-05 12:00:00,739084.3259412835,11987.354,,,,,
2020-01-05 13:00:00,712531.0912493063,6702.571,,,,,
2020-01-05 14:00:00,550437.0252936325,3900.139,,,,,
2020-01-05 15:00:00,298306.9268172503,3557.892,,,,,
2020-01-05 16:00:00,70171.77429778659,10797.671,,,,,
2020-01-05 17:00:00,837.315709070417,23097.147,,,,,
2020-01-05 18:00:00,95.57027517416475,33815.881,,,,,
2020-01-05 19:00:00,84.42301774032184,35181.61,,,,,
2020-01-05 20:00:00,78.49828660027792,33544.618,,,,,
2020-01-05 21:00:00,40.205628452823504,27896.15,,,,,
2020-01-05 22:00:00,52.50105927035931,17970.923,,,,,
2020-01-05 23:00:00,66.09723165545181,16072.1,,,,,
2020-01-06 00:00:00,31.6285316281131,13988.865,,,,,
2020-01-06 01:00:00,32.16643182587013,11664.173,,,,,
2020-01-06 02:00:00,25.782045478674014,10318.425,,,,,
2020-01-06 03:00:00,44.30146028726862,6206.1669999999995,,,,,
2020-01-06 04:00:00,21.19913579378415,3818.272,,,,,
2020-01-06 05:00:00,38.392382114817806,4644.014,,,,,
2020-01-06 06:00:00,67.11038467288562,7350.566,,,,,
2020-01-06 07:00:00,176.90461703833057,18497.25,,,,,
2020-01-06 08:00:00,5062.888789352406,30308.682,,,,,
2020-01-06 09:00:00,96060.71904036935,38099.232,,,,,
2020-01-06 10:00:00,284888.1697580858,30481.91,,,,,
2020-01-06 11:00:00,459178.1145711417,20278.778000000002,,,,,
2020-01-06 12:00:00,568295.2146956414,13198.868,,,,,
2020-01-06 13:00:00,578072.256906135,10284.511,,,,,
2020-01-06 14:00:00,460749.4931768532,6387.351000000001,,,,,
2020-01-06 15:00:00,253685.40667450492,4738.217000000001,,,,,
2020-01-06 16:00:00,60047.06069608059,3925.737,,,,,
2020-01-06 17:00:00,840.4309169813296,3966.29,,,,,
2020-01-06 18:00:00,86.64300785398255,18165.276,,,,,
2020-01-06 19:00:00,66.63116449670208,35703.039,,,,,
2020-01-06 20:00:00,71.25906219813162,40854.846,,,,,
2020-01-06 21:00:00,35.957161219517815,41116.031,,,,,
2020-01-06 22:00:00,35.362537000906414,41586.234,,,,,
2020-01-06 23:00:00,46.90685324513174,37286.666,,,,,
2020-01-07 00:00:00,19.66563079600324,32107.987,,,,,
2020-01-07 01:00:00,25.09744467311692,40220.127,,,,,
2020-01-07 02:00:00,19.477854731112018,43708.301,,,,,
2020-01-07 03:00:00,24.101840329058273,42332.921,,,,,
2020-01-07 04:00:00,25.918964957016,37184.479,,,,,
2020-01-07 05:00:00,43.76551512438556,29469.444,,,,,
2020-01-07 06:00:00,71.95735286685569,26344.905,,,,,
2020-01-07 07:00:00,98.0445338820034,15043.812,,,,,
2020-01-07 08:00:00,5827.594965886799,18564.732,,,,,
2020-01-07 09:00:00,83652.15572431863,15482.732,,,,,
2020-01-07 10:00:00,205274.93202643655,23411.7,,,,,
2020-01-07 11:00:00,354682.564922381,14592.097,,,,,
2020-01-07 12:00:00,506444.46565990784,11178.289999999999,,,,,
2020-01-07 13:00:00,521217.05709698587,7827.4130000000005,,,,,
